id,name,price,rating_average,category,solds,cluster
186,Điện thoại Samsung Galaxy Z Fold 5 - Hàng chính hãng,29990000,1,Điện thoại Smartphone,1,131
187,Máy đọc sách Boox Palma - Hàng Chính Hãng,7590000,1,Máy đọc sách,1,84
188,Điện thoại Samsung Galaxy S23 FE 128G - Độc quyền online- Hàng chính hãng,12889600,1,Điện thoại Smartphone,1,56
189,Điện Thoại Samsung A35 5G 8GB/128GB - Hàng Chính Hãng,6919000,1,Điện thoại Smartphone,1,83
190,Máy tính bảng Samsung Galaxy Tab S9 Ultra 12GB/512GB - Hàng chính hãng,34990000,1,Máy tính bảng,1,38
191,Điện thoại Samsung Galaxy S24 Ultra 12GB/256GB - Độc quyền Online - Hàng chính hãng,31990000,1,Điện thoại Smartphone,1,131
192,"Điện thoại Masstel Play 10 4G Thiết kế hầm hố,Khung viền kim loại - Hàng chính hãng",579000,1,Điện thoại phổ thông,1,29
193,Điện thoại Xiaomi Redmi Note 12 Pro (8GB/256GB) - Hàng chính hãng,6629000,1,Điện thoại Smartphone,1,45
194,Điện thoại Samsung Galaxy A05 (4GB/128GB) - Hàng chính hãng ,2599000,1,Điện thoại Smartphone,1,114
195,Combo máy đọc sách Kindle 2022 (11th) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,3174000,1,Máy đọc sách,1,34
196,Điện thoại Tecno SPARK 20 8GB/128GB - Hàng chính hãng,2850000,1,Điện thoại Smartphone,1,101
197,Apple iPhone 15,18990000,1,Điện thoại Smartphone,1,99
198,Máy Đọc Sách Kindle Oasis (10th Gen) 2019- 8GB - Hàng Chính Hãng,5990000,1,Máy đọc sách,1,84
199,Điện thoại Samsung Galaxy Z Flip5 (8GB/512GB) - Hàng chính hãng,17229000,1,Điện thoại Smartphone,1,60
200,"Điện thoại Oukitel WP6 (Chống va đập,chống nước,Ram 6Gb,Rom 128Gb,pin 10.000mAh) - Hàng chính hãng",6990000,1,Điện thoại Smartphone,1,83
201,Điện Thoại Samsung A05s 4GB/128GB - Hàng Chính Hãng,3079000,1,Điện thoại Smartphone,1,101
202,Điện thoại Samsung Galaxy A15 (8GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,4500000,1,Điện thoại Smartphone,1,138
203,Điện Thoại Samsung Galaxy A14 (4GB/128GB) - Hàng Chính Hãng,3625000,1,Điện thoại Smartphone,1,115
204,Điện Thoại Samsung Galaxy S24 Ultra (12GB/256GB) - Hàng Chính Hãng,33990000,1,Điện thoại Smartphone,1,135
205,Điện Thoại Samsung Galaxy A25 5G (6GB/128GB) - Hàng chính hãng,5190000,1,Điện thoại Smartphone,1,118
206,Điện thoại Samsung Galaxy M14 5G (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,2699000,1,Điện thoại Smartphone,1,114
207,Điện thoại Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) - Hàng chính hãng,5990000,1,Điện thoại Smartphone,1,133
208,Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Bảo hành 18 tháng,2999000,1,Điện thoại Smartphone,1,101
209,Điện thoại Tecno CAMON 20 8GB/256GB - Camera 64MP + 32MP | 5000 mAh | Sạc nhanh 33W | 6.7'' FHD AMOLED - BH 13 Tháng - Hàng Chính Hãng,4590000,1,Điện thoại Smartphone,1,118
210,Điện thoại Tecno POVA 5 (8GB+8GB/128GB) RAM mở rộng 16GB | Pin 6000 mAh | Màn 120Hz - Sạc nhanh 45W - Hàng Chính Hãng			 				,3799000,1,Điện thoại Smartphone,1,3
211,Điện Thoại Samsung Galaxy A34 5G - Hàng Chính Hãng,7164000,1,Điện thoại Smartphone,1,83
212,Điện thoại Xiaomi Redmi Note 13 (6GB/128GB) - Hàng chính hãng,4359000,1,Điện thoại Smartphone,1,125
213,Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,2190000,1,Điện thoại Smartphone,1,119
214,Điện Thoại Samsung A15 8GB/128GB - Hàng Chính Hãng,4129000,1,Điện thoại Smartphone,1,125
215,"Điện thoại Realme V50 5G 6GB/128GB ,CPU Dimensity 6100+ , Màn 120HZ , Rom Quốc tế có tiếng việt - Hàng nhập khẩu",2769000,1,Điện thoại Smartphone,1,114
216,Điện Thoại Samsung A14 4GB/128GB - Hàng Chính Hãng,3339000,1,Điện thoại Smartphone,1,144
217,"[Mới] Điện thoại vivo V29e 5G (8GB/256GB) - Hàng Chính Hãng - Camera Selfie 50 MP - Vòng Sáng Aura 2.0 - Màn hình AMOLED 6.67""",8990000,1,Điện thoại Smartphone,1,81
218,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,3976200,1,Điện Thoại - Máy Tính Bảng,1,94
219,Điện thoại Samsung Galaxy A04s (4GB/64GB) - Hàng chính hãng,3990000,1,Điện thoại Smartphone,1,125
220,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,6200000,1,Điện Thoại - Máy Tính Bảng,1,22
221,Điện thoại Realme V30 (V30T) 4GB/128GB Dimensity 700 - Rom tiếng việt - Hàng nhập khẩu,2550000,1,Điện thoại Smartphone,1,114
222,Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,2499000,1,Điện thoại Smartphone,1,80
223,Điện Thoại Oppo A18 (4GB/128GB) - Hàng Chính Hãng,3190000,1,Điện thoại Smartphone,1,107
